Day,Pageviews
2020/9/10,3425496
2020/9/11,3290115
2020/9/12,3413224
2020/9/13,3687202
2020/9/14,3493882
2020/9/15,3409306
2020/9/16,3352120
2020/9/17,3314830
2020/9/18,3193119
2020/9/19,3276738
2020/9/20,3566095
2020/9/21,3396987
2020/9/22,3363766
2020/9/23,3370090
2020/9/24,3299985
2020/9/25,3205698
2020/9/26,3336237
2020/9/27,3583278
2020/9/28,3373587
2020/9/29,3382605
2020/9/30,3277836
2020/10/1,3237939
2020/10/2,3152251
2020/10/3,3324342
2020/10/4,3623656
2020/10/5,3385618
2020/10/6,3332932
2020/10/7,3319099
2020/10/8,3234088
2020/10/9,3174459
2020/10/10,3317356
2020/10/11,3602491
2020/10/12,3505812
2020/10/13,3407926
2020/10/14,3333357
2020/10/15,3398814
2020/10/16,3365907
2020/10/17,3549555
2020/10/18,3911431
2020/10/19,4091124
2020/10/20,4207888
2020/10/21,4199370
2020/10/22,4076358
2020/10/23,3876403
2020/10/24,4108639
2020/10/25,4513668
2020/10/26,4306972
2020/10/27,4283521
2020/10/28,5946618
2020/10/29,7311171
2020/10/30,7494661
2020/10/31,7720279
2020/11/1,8336796
2020/11/2,8207770
2020/11/3,7858768
2020/11/4,7332555
2020/11/5,7463917
2020/11/6,7292218
2020/11/7,7509417
2020/11/8,8020971
2020/11/9,7420996
2020/11/10,7151857
2020/11/11,7038279
2020/11/12,6711261
2020/11/13,6277254
2020/11/14,6484240
2020/11/15,6917223
2020/11/16,6381603
2020/11/17,6069180
2020/11/18,5865574
2020/11/19,5685801
2020/11/20,5438286
2020/11/21,5641648
2020/11/22,6012858
2020/11/23,5392735
2020/11/24,5081151
2020/11/25,4964502
2020/11/26,4702447
2020/11/27,4600465
2020/11/28,4929076
2020/11/29,5131399
2020/11/30,4704618
2020/12/1,4462546
2020/12/2,4305865
2020/12/3,4205319
2020/12/4,4017481
2020/12/5,4232316
2020/12/6,4563436
2020/12/7,4420236
2020/12/8,4190668
2020/12/9,4096522
2020/12/10,3896695
2020/12/11,3690864
2020/12/12,3884793
2020/12/13,4178554
2020/12/14,3941767
2020/12/15,3893419
2020/12/16,3769395
2020/12/17,3656071
2020/12/18,3498943
2020/12/19,3677178
2020/12/20,3995797
2020/12/21,3805636
2020/12/22,3670944
2020/12/23,3569217
2020/12/24,3252520
2020/12/25,2898721
2020/12/26,3479400
2020/12/27,3955968
2020/12/28,3918856
2020/12/29,3914794
2020/12/30,3822442
2020/12/31,3427627
